Street,Timestamp,Type,Lat,Lng
Sečovská cesta,1661299200,132,48.721385,21.290566
Slanecká,1661299200,121,48.673873,21.301678
Trieda SNP,1661299200,121,48.726395,21.239036
"» Slovenské Nové Mesto, Krásna, Nad jazerom",1661299200,113,48.690074,21.279625
Alejová,1661299200,112,48.704152,21.244624
Tomášikova,1661299200,121,48.735254,21.253947
Slanecká,1661299200,112,48.686658,21.284278
Južné nábrežie,1661299200,112,48.69883,21.280349
Trieda SNP,1661299200,132,48.725562,21.237815
Muškátová,1661299200,121,48.712595,21.239167
Slanecká,1661299200,121,48.693066,21.280429
Trieda SNP,1661299200,131,48.725606,21.23788
Pražská,1661299200,121,48.711734,21.240217
Jantárová,1661299200,121,48.704654,21.263216
Rastislavova,1661299200,121,48.708773,21.257269
Trieda SNP,1661299200,131,48.726534,21.239246
Slanecká,1661299200,113,48.680021,21.293788
Trieda SNP,1661299200,121,48.725707,21.238028
Južná Trieda,1661299200,121,48.688019,21.266185
Trieda KVP,1661299200,121,48.712159,21.216353
Štúrova,1661299200,111,48.716859,21.261713
Trieda SNP,1661299200,121,48.725552,21.237801
Slanecká,1661299200,113,48.686726,21.284183
Trieda SNP,1661299200,132,48.72634,21.238956
Slanecká,1661299200,113,48.694907,21.280162
Južné nábrežie,1661299200,132,48.703303,21.280063
Rastislavova,1661299200,121,48.709314,21.25702
Slanecká,1661299200,113,48.685174,21.286348
Trieda KVP,1661299200,121,48.721257,21.224751
Trieda SNP,1661299200,132,48.725795,21.238156
Slanecká,1661299200,112,48.687262,21.28348
Trieda SNP,1661299200,132,48.725824,21.238199
Škultétyho,1661299200,131,48.720075,21.246825
Trieda SNP,1661299200,121,48.708852,21.237707
"» Ťahanovce, 🛒 Metro",1661299200,132,48.745876,21.272704
Slanecká,1661299200,113,48.695484,21.280342
Južná Trieda,1661299200,131,48.732317,21.254714
Južné nábrežie,1661299200,121,48.701066,21.280422
,1661299200,113,48.704955,21.243777
Slanecká,1661299200,112,48.690401,21.278497
Slanecká,1661299200,111,48.683625,21.288559
Štúrova,1661299200,111,48.717438,21.263892
Južné nábrežie,1661299200,132,48.706788,21.279335
Hlinkova,1661299200,142,48.737137,21.247793
Ukrajinská,1661299200,111,48.669017,21.317141
"» Slovenské Nové Mesto, Krásna, Nad jazerom",1661299200,113,48.689941,21.280148
Slanecká,1661299200,113,48.68923,21.28121
Ukrajinská,1661299200,112,48.668909,21.317695
Trieda SNP,1661299200,132,48.726368,21.238997
Trieda SNP,1661299200,132,48.7265,21.239194
16,1661299200,131,48.693049,21.231456
Trieda Ludvíka Svobodu,1661299200,121,48.743492,21.27799
Trieda Ludvíka Svobodu,1661299200,112,48.743588,21.276663
Trieda Ludvíka Svobodu,1661299200,112,48.743729,21.27568
Slanecká,1661299200,111,48.694208,21.280355
Trieda KVP,1661299200,121,48.72091,21.216737
Trieda SNP,1661299200,132,48.725757,21.238101
Južná Trieda,1661299200,132,48.688221,21.26613
Trieda Ludvíka Svobodu,1661299200,121,48.743463,21.277522
Hlinkova,1661299200,142,48.742346,21.262225
Watsonova,1661299200,132,48.734968,21.241327
Južné nábrežie,1661299200,121,48.708293,21.279242
Červený rak,1661299200,131,48.689365,21.2465
Červený rak,1661299200,131,48.689593,21.246005
Trieda KVP,1661299200,121,48.719753,21.214934
Jantárová,1661299200,121,48.704705,21.263538
Hlinkova,1661299200,131,48.742388,21.265311
Slanecká,1661299200,131,48.693652,21.280361
Jantárová,1661299200,121,48.704834,21.264362
Trieda SNP,1661299200,132,48.72581,21.238179
Watsonova,1661299200,113,48.734224,21.23936
Hlinkova,1661299200,131,48.742011,21.267964
Slanecká,1661299200,132,48.681802,21.291206
Nižné Kapustníky,1661212800,132,48.690489,21.275117
Slanecká,1661212800,113,48.686541,21.284441
Trieda SNP,1661212800,132,48.715785,21.234557
Slanecká,1661212800,113,48.676679,21.29821
"» Slovenské Nové Mesto, Krásna, Nad jazerom",1661212800,113,48.690103,21.279482
,1661212800,131,48.723395,21.273998
Popradská,1661212800,121,48.720881,21.226634
"» Miskolc, ⊙, (H)",1661212800,132,48.689328,21.268617
Prešovská cesta,1661212800,131,48.739011,21.272554
Myslavská,1661212800,121,48.699046,21.22498
Trieda SNP,1661212800,121,48.725678,21.237985
Opatovská cesta,1661212800,131,48.70438,21.282681
Rastislavova,1661212800,121,48.704437,21.261705
Štúrova,1661212800,111,48.717972,21.26514
Prešovská cesta,1661212800,132,48.739362,21.272347
Jantárová,1661212800,131,48.704661,21.263259
Trieda SNP,1661212800,131,48.72522,21.237309
Komenského,1661212800,113,48.732133,21.249499
Slanecká,1661212800,113,48.690444,21.278656
Trieda SNP,1661212800,121,48.725749,21.23809
Ulica osloboditeľov,1661212800,132,48.680655,21.268509
Trieda SNP,1661212800,132,48.725682,21.237991
Kuzmányho,1661212800,131,48.722395,21.249012
Jantárová,1661212800,131,48.704643,21.263145
Moldavská cesta,1661212800,131,48.696172,21.234995
,1661212800,131,48.697897,21.241547
"» Miskolc, ⊙, (H)",1661212800,112,48.689311,21.26846
Trieda SNP,1661212800,132,48.725766,21.238115
Rastislavova,1661212800,121,48.708658,21.257323
Južná Trieda,1661212800,132,48.687864,21.266535
Južná Trieda,1661212800,131,48.685399,21.266931
Hviezdoslavova,1661212800,113,48.726446,21.251603
"» Miskolc, ⊙, (H)",1661212800,112,48.68938,21.269088
Slanecká,1661212800,113,48.68888,21.281611
Trieda KVP,1661212800,121,48.719178,21.21434
Trieda Ludvíka Svobodu,1661212800,121,48.743327,21.278709
Americká trieda,1661212800,131,48.74945,21.271394
Trieda KVP,1661212800,121,48.710911,21.21732
Palackého,1661212800,111,48.720787,21.273352
Trieda KVP,1661212800,121,48.721519,21.226086
Trieda SNP,1661212800,132,48.725838,21.23822
Južné nábrežie,1661212800,131,48.721255,21.276678
Južné nábrežie,1661212800,132,48.701684,21.280325
Rastislavova,1661212800,132,48.704425,21.261304
Myslavská,1661212800,121,48.700052,21.222966
Trieda Ludvíka Svobodu,1661212800,121,48.743719,21.275753
Važecká,1661212800,111,48.674122,21.301985
Opatovská cesta,1661212800,131,48.699011,21.283446
Južné nábrežie,1661212800,142,48.719319,21.277372
,1661212800,121,48.729771,21.290722
Slanecká,1661212800,112,48.684933,21.286685
Americká trieda,1661212800,131,48.749427,21.271413
Trieda SNP,1661212800,131,48.721859,21.234791
Jantárová,1661212800,112,48.704637,21.263108
Rastislavova,1661212800,121,48.710197,21.256616
Popradská,1661212800,131,48.724602,21.234021
Trieda Ludvíka Svobodu,1661212800,121,48.74336,21.278575
Watsonova,1661212800,142,48.728432,21.24091
,1661212800,111,48.72614,21.276824
Watsonova,1661212800,132,48.733894,21.238825
Hlinkova,1661212800,132,48.742463,21.264575
Červený rak,1661212800,131,48.690299,21.244465
,1661212800,121,48.688505,21.260299
Štúrova,1661212800,112,48.716418,21.255091
Komenského,1661212800,113,48.730031,21.251371
,1661212800,131,48.690382,21.276945
Červený rak,1661212800,131,48.68939,21.246691
Trieda KVP,1661212800,121,48.71573,21.214837
Trieda Ludvíka Svobodu,1661212800,121,48.743384,21.278478
Nižné Kapustníky,1661212800,113,48.689936,21.272024
Prešovská cesta,1661212800,142,48.727023,21.277023
"» Michalovce, Miskolc (H)",1661212800,111,48.687809,21.258286
Trieda SNP,1661212800,142,48.721593,21.234631
Slanecká,1661212800,111,48.6859,21.285333
Stará Spišská cesta,1661212800,142,48.728086,21.24043
Štúrova,1661126400,250,48.716702,21.261234
Trieda Ludvíka Svobodu,1661126400,113,48.743759,21.274774
,1661126400,113,48.736408,21.273317
Popradská,1661126400,132,48.725172,21.23723
"» Ťahanovce, 🛒 Metro",1661126400,132,48.746375,21.27281
Nižné Kapustníky,1661126400,112,48.690743,21.276729
"» Michalovce, Miskolc (H)",1661126400,111,48.688479,21.257071
Južné nábrežie,1661126400,112,48.710724,21.278725
Trieda KVP,1661126400,121,48.711625,21.216763
Slanecká,1661126400,132,48.675271,21.299964
,1661126400,131,48.727824,21.242393
"» Slovenské Nové Mesto, Krásna, Nad jazerom",1661126400,113,48.690063,21.279685
Štúrova,1661126400,250,48.716487,21.260194
Slanecká,1661126400,112,48.697074,21.280144
Ružová,1661126400,131,48.716115,21.240994
Južné nábrežie,1661126400,111,48.700214,21.280298
Prešovská cesta,1661126400,112,48.727101,21.277033
Prešovská cesta,1661126400,112,48.728067,21.277154
Nižné Kapustníky,1661126400,111,48.690208,21.273293
Južná Trieda,1661126400,131,48.702846,21.262483
Sečovská cesta,1661126400,142,48.726454,21.279668
Prešovská cesta,1661126400,250,48.746282,21.273565
Nižné Kapustníky,1661126400,142,48.689344,21.269116
Trieda Ludvíka Svobodu,1661126400,112,48.743759,21.275404
Nižné Kapustníky,1661126400,111,48.690093,21.272796
Bratislavská,1661126400,131,48.706925,21.222297
Nižné Kapustníky,1661126400,112,48.690986,21.278258
